Epoch,Loss
1,1.0780360698699951
2,1.0740121603012085
3,1.0664327144622803
4,1.0557736158370972
5,1.0425035953521729
6,1.027075171470642
7,1.0099173784255981
8,0.9914286136627197
9,0.9719740748405457
10,0.9518815875053406
11,0.9314425587654114
12,0.9109098315238953
13,0.8904996514320374
14,0.8703926205635071
15,0.8507370352745056
16,0.8316502571105957
17,0.813223123550415
18,0.7955223321914673
19,0.7785940170288086
20,0.7624664902687073
21,0.7471532225608826
22,0.7326552867889404
23,0.7189640402793884
24,0.7060627937316895
25,0.6939286589622498
26,0.6825343370437622
27,0.6718490123748779
28,0.6618400812149048
29,0.6524732708930969
30,0.6437138319015503
31,0.6355271339416504
32,0.6278789043426514
33,0.620735764503479
34,0.614065408706665
35,0.6078368425369263
36,0.6020202040672302
37,0.5965874791145325
38,0.5915119647979736
39,0.5867685675621033
40,0.5823336839675903
41,0.5781851410865784
42,0.5743024945259094
43,0.5706661939620972
44,0.5672584176063538
45,0.5640624761581421
46,0.5610631108283997
47,0.5582455396652222
48,0.5555967688560486
49,0.5531044602394104
50,0.550757110118866
